,replicate_1,replicate_2,replicate_3
day_1_growth,499.477,1938.90,302.09
day_2_growth,4089.94,2949.23,3740.34
day_3_growth,4986.95,4725.62,5270.83
day_4_growth,5445.48,3683.76,4695.68
day_5_growth,5143.98,4901.11,5343.99
