,replicate_1,replicate_2,replicate_3
day_1_growth,228.447,1040.53,1260.76
day_2_growth,1122.32,1361.31,2307.15
day_3_growth,3411.18,3119.72,3068.94
day_4_growth,3642.18,2816.51,3823.48
day_5_growth,3443.68,3373.65,3810.79
