,replicate_1,replicate_2,replicate_3
day_1_growth,946.72,765.99,711.45
day_2_growth,1422.52,1845.76,1435.14
day_3_growth,3308,2638.44,2613.57
day_4_growth,3609.41,3154.92,2903
day_5_growth,4121.50,3806.08,3194.86
