,replicate_1,replicate_2,replicate_3
day_1_growth,1807.491,2204.78,2214.11
day_2_growth,3280.77,4222.74,4345.44
day_3_growth,5207,5064.48,5173.33
day_4_growth,5405.73,5639.38,5711
day_5_growth,5699.70,5737.25,5566.27
