,replicate_1,replicate_2,replicate_3
day_1_growth,1158.94,1193.02,921.65
day_2_growth,2009.78,1870.53,1579.36
day_3_growth,3913.62,3499.01,3054.61
day_4_growth,3526.40,3667.91,3499.31
day_5_growth,4232.76,4351.27,4744.76
