,replicate_1,replicate_2,replicate_3
day_1_growth,38.972,229.70,239.891
day_2_growth,86.89,52.95,105.42
day_3_growth,73,18.71,129.24
day_4_growth,258.48,50.12,222
day_5_growth,401.37,78.90,207.56
