,replicate_1,replicate_2,replicate_3
day_1_growth,1366.619,359.40,739.22
day_2_growth,2316.16,1693.62,1980.00
day_3_growth,4290.85,2418.71,2962.67
day_4_growth,3139.46,3435.60,1718.82
day_5_growth,3871.60,4392.58,2618.86
