,replicate_1,replicate_2,replicate_3
day_1_growth,1079.215,642.71,559.27
day_2_growth,2663.43,1841.69,1569.74
day_3_growth,3147,246.19,2621.58
day_4_growth,3139.27,3888.01,3154
day_5_growth,4081.41,3994.43,3466.95
