,replicate_1,replicate_2,replicate_3
day_1_growth,16.53,59.48,17.39
day_2_growth,24.82,17.11,4.21
day_3_growth,27.82,21.44,46.98
day_4_growth,27.58,19.84,11.75
day_5_growth,59.95,32.52,24.56
