,replicate_1,replicate_2,replicate_3
day_1_growth,225.13,460.63,405.95
day_2_growth,575.78,1079.63,1218.06
day_3_growth,573.05,2049.51,2072.34
day_4_growth,935.88,4137.46,3479.52
day_5_growth,1012.94,4897.85,4889.51
