,replicate_1,replicate_2,replicate_3
day_1_growth,60.313,180.05,282.89
day_2_growth,264.61,194.85,314.80
day_3_growth,218.64,82.80,340.07
day_4_growth,292.95,316.79,473.66
day_5_growth,365.97,266.66,652.46
